Year,s_pressure,av_temp,sp_humidity,re_humidity,w_speed,t_max,t_min,precipitation,all_sky_par,cl_sky_par,yield
1990,97.1,27.39,12.76,58.94,1.81,41.94,14.97,885.94,105.54,123.33,190160
1991,97.11,27.2,13.12,60.38,1.75,41.13,13.36,959.77,105.77,123.7,191688
1992,97.13,26.52,12.45,59,1.88,41.09,10.41,849.02,106.88,123.81,189800
1993,97.1,27.18,12.94,59.69,1.8,42.46,13.54,943.95,106.55,124.85,195000
1994,97.11,26.96,12.7,59.81,1.84,42.33,13.15,838.87,107.21,123.32,197888
1995,97.1,26.65,13.37,62.62,1.7,40.91,14.27,891.8,106.33,123.21,195099
1996,97.06,26.72,13.06,61.44,1.71,39.79,14.42,833.59,106.45,123.85,190000
1997,97.14,26.7,13.06,60.81,1.68,40.3,14.74,965.23,106.77,124.44,192000
1998,97.1,27.89,12.7,56.81,1.79,43.08,13.55,933.95,106.88,123.91,194300
1999,97.03,28.61,12.02,53,1.75,42.38,14.51,1095.55,106.95,126.71,193500
2000,97.05,27.26,11.96,55.69,1.82,43.11,12.6,708.32,107.66,125.66,194000
2001,97.1,27.57,11.78,54.12,1.83,40.64,12.93,800,107.27,127.7,194500
2002,97.11,27.05,12.21,54.12,1.94,42.55,13.31,812.11,108.02,125.37,192300
2003,97.08,27.69,11.84,51.81,1.78,41.83,13.08,813,107.28,125.45,195000
2004,97.07,26.91,11.66,50,1.81,42.73,15.73,790.82,108.34,124.81,197000
2005,97.05,26.82,12.21,52.81,1.77,42.9,13.14,727.73,105.41,123.81,196000
2006,97.04,27,11.9,51.75,1.76,42.58,12.4,738.28,108.35,125.03,195000
2007,97.07,26.95,12.27,55.12,1.82,43.91,12.07,815.48,107.91,125.26,207000
2008,97.06,27.48,12.33,56.44,1.66,41.74,13.96,1023.05,108.37,124.95,217600
2009,97.07,27.69,13.12,59.12,1.6,41.49,14.19,965.04,107.76,124.5,218800
2010,97.07,27.74,13.18,59,1.69,42.12,12.82,986.13,107.14,125.02,219000
2011,97.05,28.05,12.02,53.5,1.75,43.54,11.93,715.91,106.42,124.03,220000
2012,97.11,27.3,12.7,58.62,1.65,42.03,12.32,999.55,105.95,124.28,224499.38
2013,97.11,28.08,13.12,58.31,1.72,41.12,11.54,838.48,107.98,125.55,228675.06
2014,97.13,27.8,12.51,55.62,1.65,41.51,14.99,981.3,108.4,126.3,230917.71
2015,97.17,27.95,11.78,51.56,1.72,42.19,10.31,1004.66,107.93,123.8,247275.27
2016,97.16,28.52,13,58.44,1.66,43.72,13.96,1150.4,107.41,123.88,251000
2017,97.11,28.23,12.33,54.69,1.62,42.73,15.09,1189.55,106.86,123.94,253500
2018,97.11,28.19,12.88,56.44,1.71,40.84,11.75,1180.44,107.22,124.27,254000
2019,97.13,28.34,12.76,56.44,1.66,43.36,13.62,1000.43,106.62,125.91,255710
2020,97.15,28.55,12.76,57.81,1.79,42.1,11.9,933.4,108.73,126.1,250000
2021,97.09,28.25,12.63,56.25,1.76,43.14,15.76,948.51,108.45,125.28,200100
2022,97.12,26.73,12.94,61,1.72,42.48,13.65,1200.25,106.97,125.93,255000
